Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Academic-year
Eenrichissement de la sémantique des diagrammes d’états –transition .transformation vers Maude,KHABABA  Abdallah,Professeur,TRUE,GL,RSD,IDTW,F3I,IFIA,2022-2023
les activités d’élicitation et analyse des exigences au contexte aux projets  Big Data,KHABABA  Abdallah,Professeur,TRUE,IDTW,GL,RSD,IFIA,F3I,2022-2023
creating 3D minimap for navigation in VR,KHABABA  Abdallah,Professeur,TRUE,IDTW,RSD,GL,F3I,IFIA,2022-2023
Machine learning to predict Antimicriobial Resistance of Acinetobacter Baumannii,KAMEL  Nadjet,Professeur,TRUE,IDTW,IFIA,F3I,RSD,GL,2022-2023
Prétraitement de données pour la classification des sols,KAMEL  Nadjet,Professeur,FALSE,IDTW,IFIA,F3I,RSD,GL,2022-2023
Sequential Pattern Mining for SARS-CoV-2,KAMEL  Nadjet,Professeur,FALSE,IDTW,IFIA,F3I,RSD,GL,2022-2023
Deep Learning Models for Colorectal Cancer Detection and Classification,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Fully Attention Convolutional Deep Neural Networks for Polyp Segmentation from Histological Images and/or Colonoscopy Video,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Efficient Deep Multimodal Self-Supervised Learning for Epileptic Seizures Detection Using EEG Signals,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Deep Vision Transformer for Heart Disease Classification and Prediction,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Ensemble Deep Learning-based Semantic Segmentation and Classification of Leaves Images for Agricultural Plants Diseases’ Detection,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Plant leaf Disease Classification Using Deep Learning Transformers Driven Bayesian Learning and Regularization,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Proteomic Profiles Selection and Patients’ Cancer Classification Based on Bio-inspired Algorithms and Deep Learning,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Hybridization of Deep and Generative Models for Accurate Generation and Classification Chest X-ray Abnormalities,MOUSSAOUI  Abdelouahab,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2022-2023
