Id,Title,Author,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Date,Time
1722,Eenrichissement de la sémantique des diagrammes d’états –transition .transformation vers Maude,KHABABA  Abdallah,Professeur,False,GL,RSD,IDTW,F3I,IFIA,2022-11-13,20:46:59
1748,les activités d’élicitation et analyse des exigences au contexte aux projets  Big Data,KHABABA  Abdallah,Professeur,False,IDTW,GL,RSD,IFIA,F3I,2022-11-17,07:11:38
1758,creating 3D minimap for navigation in VR,KHABABA  Abdallah,Professeur,False,IDTW,RSD,GL,F3I,IFIA,2022-11-17,15:58:26
1829,Machine learning to predict Antimicriobial Resistance of Acinetobacter Baumannii,KAMEL  Nadjet,Professeur,False,IDTW,IFIA,F3I,RSD,GL,2022-11-19,08:53:16
1830,Prétraitement de données pour la classification des sols,KAMEL  Nadjet,Professeur,False,IDTW,IFIA,F3I,RSD,GL,2022-11-19,09:01:30
1839,Sequential Pattern Mining for SARS-CoV-2,KAMEL  Nadjet,Professeur,False,IDTW,IFIA,F3I,RSD,GL,2022-11-19,13:45:21
1744,Deep Learning Models for Colorectal Cancer Detection and Classification,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-16,18:17:33
1745,Fully Attention Convolutional Deep Neural Networks for Polyp Segmentation from Histological Images and/or Colonoscopy Video,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-18,20:29:27
1746,Efficient Deep Multimodal Self-Supervised Learning for Epileptic Seizures Detection Using EEG Signals,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-26,13:27:54
1747,Deep Vision Transformer for Heart Disease Classification and Prediction,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-16,23:07:33
1774,Ensemble Deep Learning-based Semantic Segmentation and Classification of Leaves Images for Agricultural Plants Diseases’ Detection,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-18,15:20:26
1777,Plant leaf Disease Classification Using Deep Learning Transformers Driven Bayesian Learning and Regularization,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-18,19:16:40
1780,Proteomic Profiles Selection and Patients’ Cancer Classification Based on Bio-inspired Algorithms and Deep Learning,MOUSSAOUI  Abdelouahab,Professeur,False,IDTW,F3I,IFIA,GL,RSD,2022-11-18,15:18:32
1782,Hybridization of Deep and Generative Models for Accurate Generation and Classification Chest X-ray Abnormalities,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-18,14:33:29
1790,Multimodal Brain MRI/fMRI Image Generation and Classification Using GAN Architectures and Deep Attention CNN Models,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-18,18:27:48
1796,Arrhythmia Classification of Physiological Signals ECG/MEG with Deep Neural Networks Models,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-18,19:10:53
1900,Protein Structure Detection by AlphaFold and GNN Attention Deep Learning Models,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-25,20:09:04
1901,Multiple Sclerosis Detection from MRI Images dataset  using Deep Learning Transformers and Variational Autoencoder,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-26,08:32:00
1903,Plant Species Identification Using Siamese Network Architecture and Deep Boltzmann Machine Algorithm,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-26,09:31:55
1904,Deep Belief Networks Applied  to Alzheimer's Disease Detection and Classification using Neuroimaging Data,MOUSSAOUI  Abdelouahab,Professeur,False,F3I,IDTW,IFIA,GL,RSD,2022-11-26,13:24:24
1771,Développement de systèmes d'information distribués,SAIDI  Mohamed,Maitre de conferences classe A,False,GL,IDTW,RSD,F3I,IFIA,2022-11-18,09:51:11
1772,Intégration de systèmes d'information distribués,SAIDI  Mohamed,Maitre de conferences classe A,False,GL,IDTW,RSD,F3I,IFIA,2022-11-18,09:53:30
1752,WSN hétérogène basé sur des agents intelligents à faible consommation d'énergie pour la collecte de données.,ALIOUAT née ZOUAOUI  Zibouda,Professeur,False,IFIA,RSD,IDTW,F3I,GL,2022-11-17,08:09:42
1835,Approche bio-inspiré pour la sécurité de l’internet des objets,ALIOUAT née ZOUAOUI  Zibouda,Professeur,False,IFIA,RSD,IDTW,F3I,GL,2022-11-19,12:23:29
1857,Collecte et exploitation de données spatio-temporelles relatives aux accidents de la route,DOUIDI  Lamri,Maitre de conferences classe B,False,IDTW,GL,IFIA,F3I,RSD,2022-11-19,19:59:26
1859,"Application pour acquisition, traitement et exploitation des données sur les accidents de la route",DOUIDI  Lamri,Maitre de conferences classe B,False,IDTW,GL,IFIA,RSD,F3I,2022-11-19,20:08:00
1821,Détection d'injections SQL au moyen de techniques du Deep Learning,BENZINE  Mehdi,Maitre de conferences classe B,False,IDTW,F3I,IFIA,GL,RSD,2022-11-19,08:30:43
1822,Détection des attaques de type XSS grâce à des techniques de Deep Learning,BENZINE  Mehdi,Maitre de conferences classe B,False,IDTW,IFIA,F3I,GL,RSD,2022-11-19,07:54:56
1808,Hamiltonian Monte Carlo (HMC) Inference in Item Response Theory,KHENTOUT née HARBOUCHE  Khadidja,Maitre de conferences classe B,False,IDTW,IFIA,RSD,F3I,GL,2022-11-18,22:21:42
1809,Variational Inference in Item Response Theory,KHENTOUT née HARBOUCHE  Khadidja,Maitre de conferences classe B,False,IDTW,IFIA,RSD,F3I,GL,2022-11-18,22:24:38
1761,Enhancing a Collaborative Recommender System Based on Deep Learning for Online Resources,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,False,IDTW,F3I,IFIA,RSD,GL,2022-11-17,18:02:37
1762,Enhancing a Content-Based Recommender System using Deep Learning for Online Resources,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,False,IDTW,F3I,IFIA,RSD,GL,2022-11-17,18:05:40
1763,A Deep Learning Model for the Diagnosis of Critical Diseases,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,False,IDTW,F3I,IFIA,RSD,GL,2022-11-17,18:13:49
