Id,Title,Author,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Date,Time
1499,IoT for remote monitoring in Algeria,KHABABA  Abdallah,Professeur,True,F3I,IDTW,IFIA,GL,RSD,2022-01-04,09:49:23
1501,"Development, Usability, and Efficiancy of a Serious Game in aiding to regain cognitive functions.",KHABABA  Abdallah,Professeur,True,GL,IFIA,F3I,IDTW,RSD,2022-01-02,19:21:14
1502,Conception et Réalisation d’un système de réalité augmentée appliquée aux opérations sur les systèmes Industriels. (Ingénierie et outils numériques),KHABABA  Abdallah,Professeur,True,F3I,RSD,IDTW,GL,IFIA,2022-01-16,12:13:05
1504,An IoT Based Mobile Augmented Reality Application for Energy Visualization,KHABABA  Abdallah,Professeur,True,F3I,IDTW,GL,IFIA,RSD,2022-01-04,09:50:25
1363,Architecture d’un Système Nano Macro de Réseaux de Capteurs sans Fil connecté à IoT  pour une Agriculture Moderne,ALIOUAT  Makhlouf,Professeur,True,RSD,IDTW,IFIA,GL,F3I,2022-01-02,19:41:53
1364,Distribution de Systèmes  de Coordination des Feux de Circulation dans une Ville Intelligentes,ALIOUAT  Makhlouf,Professeur,True,RSD,IDTW,GL,IFIA,F3I,2022-01-03,19:48:18
1373,sequential pattern mining,KAMEL  Nadjet,Professeur,True,IDTW,IFIA,RSD,F3I,GL,2022-02-06,09:32:43
1375,Utility Pattern Mining,KAMEL  Nadjet,Professeur,False,IDTW,IFIA,RSD,F3I,GL,2021-11-14,11:34:21
1481,Vision Transformer Based Deep Learning Models for Plant Disease Detection and Diagnosis,MOUSSAOUI  Abdelouahab,Professeur,True,F3I,IDTW,IFIA,GL,RSD,2022-01-04,09:43:24
1497,Attention-Based Deep Convolutional Neural Network Versus Transfer Learning for Medical Image Classification and Disease Diagnosis,MOUSSAOUI  Abdelouahab,Professeur,True,F3I,IDTW,IFIA,GL,RSD,2022-01-04,09:47:46
1510,"Deep Feature Learning (Extraction and Generation) Using a Bidirectional LSTM-CNN and  Deep Generative Models (VAE, GAN) Applied to Physiological Signals (EEG/ECG) Classification",MOUSSAOUI  Abdelouahab,Professeur,True,F3I,IDTW,IFIA,GL,RSD,2022-01-04,09:51:34
1514,Transformer-based Deep Learning Techniques for Speech Emotion Recognition and Sentiment Analysis,MOUSSAOUI  Abdelouahab,Professeur,True,F3I,IDTW,IFIA,GL,RSD,2022-01-04,09:53:01
1516,Innovative Deep Neural Network Models for Multilingual Translation,MOUSSAOUI  Abdelouahab,Professeur,True,IDTW,F3I,IFIA,GL,RSD,2022-01-05,17:06:46
1517,Community Detection with Deep Graph Neural Networks (GNN),MOUSSAOUI  Abdelouahab,Professeur,True,IDTW,F3I,IFIA,GL,RSD,2022-01-02,19:48:41
1518,Identification of Plant-Leaf Diseases Based Generative-Attention CNN and Transfer-Learning Approaches,MOUSSAOUI  Abdelouahab,Professeur,True,IDTW,F3I,IFIA,GL,RSD,2022-01-05,17:09:30
1519,Deep Learning fo Medical Object Detection and Segmentation : Case of Osteoporosis Disease,MOUSSAOUI  Abdelouahab,Professeur,True,IDTW,F3I,IFIA,GL,RSD,2022-01-05,17:10:34
1520,Classification of Remote Sensing Images using Transfer Learning and CNN Model with Attention,MOUSSAOUI  Abdelouahab,Professeur,True,F3I,IDTW,IFIA,GL,RSD,2022-01-04,09:54:57
